

| 序号 | 单词 | 词性 | 释义 |
| 1625 | congratulation | n. | 贺词； 祝贺， 恭喜 |
| 1626 | package | n. | 包裹，包装；一揽子交易 vt. 把…打包； 包装 |
| 1627 | part | n. | 一部分；零件 |
| 1628 | credit | n. | 信贷，赊欠；赞扬，荣誉；学分；信任 vt. 相信； 把…记入贷方； 把…归于 |
| 1629 | judge | n. | 法官；裁判员 |
| 1630 | decision | n. | 决定，决心；果断 |
| 1631 | compose | vt. | 组成， 构成； 创作， 为…谱曲； 使平静， 使镇静 |
| 1632 | rag | n. | 破布， 碎布； 破旧衣服 |
| 1633 | satellite | n. | 卫星， 人造卫星 |
| 1634 | transport | vt. | 运输 n. 运输， 运输工具 |
| 1635 | drawing | n. | 图画，素描；绘图 |
| 1636 | protective | adj. | 保护的， 防护的 |
| 1637 | ago | adv. | 以前 |
| 1638 | poem | n. | 诗，韵文，诗体文 |
| 1639 | hear | v. | 听见；听说；审讯 |
| 1640 | overall | adj. | 全面的， 总体的， 全部的 |
| 1641 | freely | adv. | 自由地；直率地 |
| 1642 | creature | n. | 创造物， 产物； 生物， 动物， 家畜 |
| 1643 | solar | adj. | 太阳的， 日光的； 太阳能的 |
| 1644 | sort | n. | 种类；类别 v. 整理 |
| 1645 | dishonour | n. | 不光彩；丢脸的人 |
| 1646 | permit | v. | 允许 n. 执照 |
| 1647 | magnificent | n. | 宏伟的， 壮丽的； 华丽的； 极好的 |
| 1648 | drift | vi. | 漂流，漂泊 n. 漂流； 大意， 主旨； 趋势 |
| 1649 | proper | adj. | 适合的；合乎体统的 |
| 1650 | lame | adj. | 跛的；瘸的，残废的 |
| 1651 | mechanical | adj. | 机械的， 机械制造的； 机械学的， 力学的； 呆板的 |
| 1652 | describe | vt. | 形容； 描写； 画出 |
| 1653 | author | n. | 著作家， 作者 |
| 1654 | happy | adj. | 快乐的；幸福的 |
| 1655 | glide | v. | 滑动 n. 滑行 |
| 1656 | drain | v. | 排去，放水 n. 耗竭； 排水沟， 排水管 |
| 1657 | pen | n. | 钢笔，自来水笔 |
| 1658 | nonsense | n. | 胡说， 废话； 冒失的行动 |
| 1659 | absolute | adj. | 十足的， 地道的； 绝对的， 完全的； 不受任何限制的 |
| 1660 | sack | n. | 麻袋，包；解雇；洗劫，劫掠 vt. 解雇； 洗劫， 劫掠 |
| 1661 | apparatus | n. | 器械，仪器；器官 |
| 1662 | next | adj. | 紧接的；贴近的 |
| 1663 | grace | n. | 优美，优雅；风度，魅力；宽限，缓期 vt. 使优美 |
| 1664 | preface | n. | 序言， 前言， 引言 |
| 1665 | tone | n. | 腔调， 语气； 音调； 风格， 气度； 色调， 明暗 |
| 1666 | stove | n. | 炉， 火炉， 电炉 |
| 1667 | adjective | n. | 形容词 |
| 1668 | knee | n. | 膝，膝盖，膝关节 |
| 1669 | artist | n. | 艺术家，美术家 |
| 1670 | regardless | adv. | 不顾后果地； 不管怎样， 无论如何 |
| 1671 | reader | n. | 读者；读物，读本 |
| 1672 | horizontal | adj. | 地平的， 水平的 |
| 1673 | acceptable | adj. | 可接受的，合意的 |
| 1674 | mail | n. | 邮件 v. 邮寄 |
| 1675 | cloud | n. | 云；云状物；阴影 |
| 1676 | busy | adj. | 忙的；繁忙的 |
| 1677 | secretary | n. | 秘书；书记；大臣 |
| 1678 | deadly | adj. | 致命的；死一般的 |
| 1679 | harbour | n. | 海港，港口 vt. 庇护； 心怀 |
| 1680 | bloom | v. | 开花 n. 花，开花，开花期；青春焕发 |
| 1681 | output | n. | 产量；输出；输出功率 vt. 输出 |
| 1682 | railroad | n. | 铁路 vt. 由铁路运输 |
| 1683 | flesh | n. | 肉， 肌肉， 肉体 |
| 1684 | brother | n. | 兄弟；同事，同胞 |
| 1685 | inch | n. | 英寸 |
| 1686 | aeroplane | n. | 飞机 |
| 1687 | coffee | n. | 咖啡，咖啡茶 |
| 1688 | as | conj. | 当…的时候 |
| 1689 | elementary | adj. | 基本的， 初级的 |
| 1690 | editor | n. | 编辑， 编者， 校订者 |
| 1691 | coin | n. | 硬币 v. 铸造（硬币） |
| 1692 | definite | adj. | 明确的， 肯定的 |
| 1693 | skim | v. | 撇去， 掠过， 擦过； 浏览， 略读 |
| 1694 | tourist | n. | 旅游者，观光者 |
| 1695 | flourish | vi. | 繁荣，茂盛，兴旺 vt. 挥动 |
| 1696 | taste | n. | 味觉；品味 |
| 1697 | ending | n. | 结尾， 结局； 死亡 |
| 1698 | nearly | adv. | 差不多 |
| 1699 | away | adv. | 离开，远离；…去 |
| 1700 | lawyer | n. | 律师；法学家 |
| 1701 | precision | n. | 精确，精密，精密度 |
| 1702 | gasp | v. | 气喘，喘息 |
| 1703 | publish | vt. | 公布， 发表； 出版， 刊印 |
| 1704 | cubic | adj. | 立方形的；立方的 |
| 1705 | smart | adj. | 聪颖的，机灵的 |
| 1706 | floor | n. | 地板；楼层 |
| 1707 | blackboard | n. | 黑板 |
| 1708 | deceit | n. | 欺骗，欺诈 |
| 1709 | forecast | v. | 预测， 预报 n. 预测，预报 |
| 1710 | now | adv. | 现在；立刻 |
| 1711 | believe | v. | 相信；认为 |
| 1712 | mile | n. | 英里 |
| 1713 | occur | vi. | 发生， 出现， 存在； 被想起， 被想到 |
| 1714 | glove | n. | 手套 |
| 1715 | graduate | adj. | 研究生的 v. 毕业 n. 毕业生；研究生 |
| 1716 | club | n. | 〔职业体育的〕俱乐部；俱乐部；夜总会 |
| 1717 | fierce | adj. | 凶猛的； 狂热的 |
| 1718 | lag | vi. | 走得慢 n. 落后 |
| 1719 | hammer | n. | 锤，榔头 v. 锤击 |
| 1720 | congratulate | vt. | 祝贺， 向…道喜 |
| 1721 | storage | n. | 贮藏； 贮藏量 |
| 1722 | guess | v. | 猜测，推测 n. 猜测，推测 |
| 1723 | desirable | adj. | 值得向往的， 令人满意的 |
| 1724 | bottom | n. | 底，底部，根基 |
| 1725 | bud | n. | 芽，萌芽；蓓蕾 |
| 1726 | Australia | n. | 澳大利亚 |
| 1727 | choose | v. | 选择，挑选；情愿 |
| 1728 | meanwhile | adv. | 同时，当时 |
| 1729 | convenience | n. | 便利，方便；厕所 |
| 1730 | nowadays | adv. | 现今，现在 |
| 1731 | fall | v. | 落下；跌倒；陷落 |
| 1732 | furious | adj. | 狂怒的；狂暴的 |
| 1733 | tap | n. | 轻叩 v. 轻叩 |
| 1734 | immediate | adj. | 立即的；直接的 |
| 1735 | bruise | n. | 青肿，伤痕；擦伤 |
| 1736 | be | v. | 是；在 |
| 1737 | politics | n. | 政治， 政治学； 政纲， 政见 |
| 1738 | heavily | adv. | 重重地；大量地 |
| 1739 | pat | adj. | 非常恰当的， 适时的 n. 轻拍 |
| 1740 | dose | n. | 剂量， 用量， 一剂 |
| 1741 | operate | v. | 操作；施行手术 |
| 1742 | auxiliary | adj. | 辅助的， 附属的； 后备的 |
| 1743 | record | n. | 记录；履历 v. 记录 |
| 1744 | groan | v. | 哼，呻吟 n. 呻吟 |
| 1745 | meat | n. | 肉 |
| 1746 | harden | v. | 变硬； 变得坚强 |
| 1747 | arm | n. | 臂；臂状物；武器 |
| 1748 | lip | n. | 嘴唇 |
| 1749 | fable | n. | 寓言；虚构的故事 |
| 1750 | excuse | v. | 原谅；免除 n. 借口 |
| 1751 | cellar | n. | 地窑，地下室 |
| 1752 | noisy | adj. | 喧闹的；嘈杂的 |
| 1753 | systematic | adj. | 有系统的， 有计划的 |
| 1754 | trail | n. | 痕迹，小径 vt. 跟踪， 追踪 |
| 1755 | her | pron. | （宾格）她 determiner.. 她的 |
| 1756 | rather | adv. | 相当；宁可，宁愿 |
| 1757 | liquid | adj. | 液体的； 清澈的； 流畅的 n. 液体 |
| 1758 | indirect | adj. | 间接的；不坦率的 |
| 1759 | meantime | n. | 其时，其间 adv. 当时 |
| 1760 | portion | n. | 一部分，一份 vt. 分配， 把…分给 |
| 1761 | dinner | n. | 正餐，主餐；宴会 |
| 1762 | distribution | n. | 分发， 分配； 分布 |
| 1763 | African | adj. | 非洲的 n. 非洲人 |
| 1764 | kill | v. | 杀死；扼杀；消磨 |
| 1765 | cough | v. | 咳，咳嗽 n. 咳嗽 |
| 1766 | restraint | n. | 抑制， 限制， 克制； 约束措施， 约束条件 |
| 1767 | composition | n. | 构成；作品；写作 |
| 1768 | verify | vt. | 证实， 查证， 证明 |
| 1769 | it | pron. | 这，那，它 |
| 1770 | comb | n. | 梳子；鸡冠，冠状物 vt. 梳理； 在…搜寻； 彻底搜查 |
| 1771 | conquest | n. | 攻取， 征服， 克服 |
| 1772 | bristle | n. | 短而硬的毛；鬃毛 |
| 1773 | especially | adv. | 尤其；特别，格外 |
| 1774 | bottle | n. | 瓶，酒瓶；一瓶 |
| 1775 | crush | vt. | 压碎， 碾碎； 摧毁， 压垮 |
| 1776 | delegation | n. | 代表团 |
| 1777 | ourselves | pron. | 我们自己 |
| 1778 | objective | adj. | 客观的， 无偏见的 n. 目标，目的 |
| 1779 | sulphur | n. | 硫（磺），硫黄 |
| 1780 | talent | n. | 天才， 才能； 人才 |
| 1781 | appliance | n. | 用具， 器具， 器械； 家电 |
| 1782 | inspection | n. | 检阅；检查，审查 |
| 1783 | bang | vi. | 猛击， 猛撞； 发出砰的一声， 砰砰地响 n. 巨响，枪声；猛击 vt. 猛击，猛撞；砰地敲 |
| 1784 | happiness | n. | 幸福，幸运；快乐 |
| 1785 | attention | n. | 注意，留心；注意力 |
| 1786 | January | n. | 一月 |
| 1787 | venture | v. | 冒险， 敢于 n. 风险投资，风险项目 |
| 1788 | input | n. | 输入；投入的资金；输入的数据 vt. 把…输入计算机 |
| 1789 | roar | v. | 吼叫，怒号，咆哮；轰鸣；大声喊出，大声表示 n. 呐喊声， 咆哮声， 吼叫声； 轰鸣 |
| 1790 | faithful | adj. | 忠诚的； 如实的； 尽职的 |
| 1791 | monkey | n. | 猴子，猿 |
| 1792 | behalf | n. | 代表某人 |
| 1793 | operator | n. | 操作人员； 话务员， 报务员 |
| 1794 | humble | adj. | 谦逊的； 地位低下的； 简陋的 |
| 1795 | manufacturer | n. | 制造商； 制造厂 |
| 1796 | mug | n. | 大杯 vt. 对…行凶抢劫 |
| 1797 | goat | n. | 山羊 |
| 1798 | democracy | n. | 民主， 民主制； 民主国家 |
| 1799 | city | n. | 城市，都市 |
| 1800 | spoil | v. | 损坏，糟蹋；宠坏，溺爱；变质 n. 战利品， 掠夺物 |
| 1801 | packet | n. | 小包（裹），小捆 |
| 1802 | object | vi. | 反对， 不赞成 n. 实物， 物体； 目的， 目标； 对象， 客体； 宾语 |
| 1803 | American | adj. | 美洲的 n. 美国人 |
| 1804 | pull | v. | 拉，拖 n. 拉，拉力 |
| 1805 | mixture | n. | 混合， 混合物 |
| 1806 | October | n. | 十月 |
| 1807 | pigeon | n. | 鸽子 |
| 1808 | conversely | adv. | 相反地 |
| 1809 | multiply | vt. | 增加， 繁殖； 乘 |
| 1810 | divorce | v. | 离婚； 分离， 脱离 n. 离婚，离异 |
| 1811 | tray | n. | 托盘，碟；（浅）盘 |
| 1812 | mad | adj. | 发疯的；恼火的 |
| 1813 | sacrifice | v. | 牺牲，舍身；献祭，供奉 n. 牺牲； 供奉； 祭品 |
| 1814 | various | adj. | 各种各样的， 不同的 |
| 1815 | stuff | n. | 材料，东西 vt. 装， 填， 塞； 让…吃饱 |
| 1816 | rely | vi. | 依靠， 依赖； 信赖， 指望 |
| 1817 | diameter | n. | 直径 |
| 1818 | boss | n. | 老板，上司 v. 指挥 |
| 1819 | dying | adj. | 垂死的；临终的 |
| 1820 | indeed | adv. | 确实；真正地 |
| 1821 | occasionally | adv. | 偶然；非经常地 |
| 1822 | human | adj. | 人的，人类的 n. 人 |
| 1823 | glitter | v. | 闪闪发光 n. 闪光 |
| 1824 | receipt | n. | 发票， 收据； 收入， 进款； 收到， 接到 |
| 1825 | adventure | n. | 奇遇； 冒险， 冒险活动 |
| 1826 | lover | n. | 情人；情侣；爱好者 |
| 1827 | infant | adj. | 婴儿的； 幼稚的 n. 婴儿 |
| 1828 | muddy | adj. | 多泥的，泥泞的 |
| 1829 | beast | n. | 兽， 野兽， 牲畜； 凶残的人， 令人厌憎的人 |
| 1830 | faint | adj. | 不清楚的，模糊的 v. 晕倒，昏厥 n. 昏厥 |
| 1831 | alarm | n. | 惊恐；忧虑；警报 vt. 使惊恐； 使担心 |
| 1832 | convention | n. | 习俗， 惯例； 公约； 会议 |
| 1833 | bed | n. | 床，床位；圃；河床 |
| 1834 | silent | adj. | 寂静无声的；沉默的 |
| 1835 | dislike | v. | 不喜爱，厌恶 n. 不喜爱，厌恶 |
| 1836 | greatly | adv. | 大大地，非常 |
| 1837 | pity | n. | 遗憾；怜悯 v. 同情 |
| 1838 | border | n. | 边，边缘，边界 vt. 给…加上边， 围； 邻接； 与…接壤 |
| 1839 | panel | n. | 专门小组； 面， 板； 控制板， 仪表盘 |
| 1840 | wrap | vt. | 裹，包，捆 n. 披肩 |
| 1841 | passage | n. | 通路，通道；通过 |
| 1842 | waken | v. | 醒来， 弄醒 |
| 1843 | care | v. | 介意；关心 n. 小心 |
| 1844 | organic | adj. | 有机体的， 有机物的 |
| 1845 | easy | adj. | 容易的；安逸的 |
| 1846 | improve | v. | 变得更好； 改善； 提高 |
| 1847 | tissue | n. | 组织； 薄绢， 薄纸， 手巾纸 |
| 1848 | vigorous | adj. | 朝气蓬勃的； 有力的， 用力的 |
| 1849 | income | n. | 收入；收益；进款 |
| 1850 | knot | vi. | 打结 n. 结；节疤；节 vt. 把…打成结 |
| 1851 | spark | vi. | 发出火花 n. 火花，火星 |
| 1852 | aside | adv. | 在旁边， 到旁边 |
| 1853 | stripe | n. | 条纹，条子 |
| 1854 | meter | n. | 计量器；计，表 |
| 1855 | frequent | adj. | 时常发生的，常见的 v. 常到， 常去 |
| 1856 | pure | adj. | 纯粹的；纯洁的 |
| 1857 | beyond | adv. | 在更远处， 再往后 prep. 在…的那边，远于；迟于；越出 |
| 1858 | eager | adj. | 渴望的，热切的 |
| 1859 | fox | n. | 狐狸；狡猾的人 |
| 1860 | penny | n. | （英）便士；（美）分 |
| 1861 | infer | vt. | 推论， 推断； 猜想 |
| 1862 | steam | n. | 蒸汽 v. 蒸发；蒸 |
| 1863 | file | n. | 档案 v. 把…归档 |
| 1864 | midnight | n. | 午夜，子夜，夜半 |
| 1865 | scientific | adj. | 科学（上）的 |
| 1866 | oil | n. | 油；石油 v. 加油于 |
| 1867 | cancer | n. | 癌， 癌症； 肿瘤 |
| 1868 | instantly | adv. | 立即，即刻 |
| 1869 | Chinese | adj. | 中国的 n. 中国人 |
| 1870 | good | adj. | 好的；有本事的 |
| 1871 | method | n. | 方法，办法；教学法 |
| 1872 | monthly | adj. | 每月的 adv. 每月 |
| 1873 | dream | n. | 梦；梦想 v. 做梦 |
| 1874 | load | v. | 装；装满 n. 负载 |
| 1875 | fuel | vi. | 加燃料； 加油 n. 燃料，燃料剂 vt. 给…加燃料；刺激 |
| 1876 | modern | adj. | 现代的，近代的 |
| 1877 | common | adj. | 普通的；共同的 |
| 1878 | produce | v. | 产生；生产；展现 |
| 1879 | castle | n. | 城堡；巨大建筑物 |
| 1880 | supreme | adj. | 最高的， 最大的； 极度的， 最重要的 |
| 1881 | ask | v. | 问；要求；邀请 |
| 1882 | dumb | adj. | 哑的； 无言的； 说不出话的 |
| 1883 | pin | n. | 针，饰针 v. 别住 |
| 1884 | attain | vt. | 达到， 获得， 完成 |
| 1885 | curtain | n. | 帘，窗帘；幕（布） |
| 1886 | fog | n. | 雾， 烟雾， 尘雾 |
| 1887 | rotten | adj. | 腐烂的； 令人不愉快的； 糟糕的 |
| 1888 | mysterious | adj. | 神秘的；难以理解的 |
| 1889 | diary | n. | 日记，日记簿 |
| 1890 | survive | vi. | 活下来， 幸存 vt. 从…逃出，幸免于；从中挺过来；比…活得长 |
| 1891 | bicycle | n. | 自行车，脚踏车 |
| 1892 | sausage | n. | 香肠， 腊肠 |
| 1893 | attack | n. | 攻击，打击；突然发作 vt. 攻击， 进攻 |
| 1894 | saw | n. | 锯子 v. 锯，锯开 |
| 1895 | indication | n. | 指示， 表示， 表明； 象征， 迹象 |
| 1896 | submarine | adj. | 水下的 n. 潜水艇 |
| 1897 | overseas | adv. | 在海外 adj. 在海外的 |
| 1898 | oriental | adj. | 东方的；东方国家的 |
| 1899 | for | prep. | 给；为；因为 |
| 1900 | healthy | adj. | 健康的；有益健康的 |
| 1901 | multiple | adj. | 复合的，多重的，多样的 n. 倍数 |
| 1902 | cock | n. | 公鸡；雄禽；旋塞 |
| 1903 | actress | n. | 女演员 |
| 1904 | strap | n. | 带子 vt. 捆扎； 用绷带包扎 |
| 1905 | economic | adj. | 经济的，经济学的 n. 经济学； 经济状况 |
| 1906 | barrel | n. | 桶； 圆筒； 枪管 |
| 1907 | hand | n. | 手；指针 |
| 1908 | partly | adv. | 部分地，不完全地 |
| 1909 | paw | v. | 用爪子抓， 用蹄扒； 翻找 n. 爪子 |
| 1910 | upset | adj. | 心烦的， 苦恼的； 不适的 vt. 使心烦意乱，使苦恼，使不适；搅乱；弄翻，倾覆 n. 翻倒；搅乱；不安；不适 |
| 1911 | plunge | n&v. | 纵身投入， 猛冲； 猛跌 |
| 1912 | injury | n. | 损害， 伤害； 受伤处 |
| 1913 | hopeless | adj. | 没有希望的， 绝望的 |
| 1914 | escape | v. | 逃跑；逸出 n. 逃跑 |
| 1915 | philosophy | n. | 哲学， 哲理， 人生哲学 |
| 1916 | thrive | vi. | 兴旺， 繁荣， 旺盛 |
| 1917 | fireman | n. | 消防队员； 司炉工 |
| 1918 | awfully | adv. | 令人畏惧的；很 |
| 1919 | golden | adj. | 金色的；极好的 |
| 1920 | carrot | n. | 胡萝卜 |
| 1921 | concerning | prep. | 关于 |
| 1922 | lot | pron. | . 许多，大量 n. 抽签，抓阄 |
| 1923 | unlikely | adj. | 未必的，未必可能的 |
| 1924 | liar | n. | 说谎的人 |
| 1925 | family | n. | 家，家庭；家族 |
| 1926 | hay | n. | 干草 |
| 1927 | many | det. | . 许多的 pron. 许多人 |
| 1928 | goal | n. | 目的；球门；得分 |
| 1929 | indefinite | adj. | 不明确的；不定的 |
| 1930 | inner | adj. | 内部的； 内心的 |
| 1931 | bear | n. | 熊；粗鲁的人 |
| 1932 | pretty | adj. | 漂亮的，标致的 |
| 1933 | therefore | adv. | 因此， 所以 |
| 1934 | goose | n. | 鹅；雌鹅 |
| 1935 | pupil | n. | 学生，小学生 |
| 1936 | dairy | adj. | 乳制品的 n. 牛奶场；乳制品 |
| 1937 | boundary | n. | 分界线， 边界 |
| 1938 | afterward | adv. | 后来， 以后 |
| 1939 | fan | n. | （运动等）狂热爱好者 |
| 1940 | election | n. | 选举； 选择权； 当选 |
| 1941 | wheat | n. | 小麦 |
| 1942 | page | n. | 页 |
| 1943 | spite |  | n. 不顾；恶意，怨恨 v. 刁难，欺侮 |
| 1944 | relationship | n. | 关系， 关联 |
| 1945 | grape | n. | 葡萄， 葡萄藤 |
| 1946 | restrain | vt. | 阻止， 控制； 抑制， 遏制 |
| 1947 | dimension | n. | 尺寸， 尺度； 方面， 特点； 面积， 规模 |
| 1948 | saucer | n. | 茶托， 碟子 |
| 1949 | observer | n. | 观察员， 观察者 |
| 1950 | hero | n. | 英雄；勇士；男主角 |
| 1951 | happen | vi. | 发生； 碰巧， 恰好 |
| 1952 | kick | v. | 踢 n. 踢 |
| 1953 | jet | vi. | 乘喷气式飞机 n. 喷气式飞机；喷嘴；喷射 |
| 1954 | chemistry | n. | 化学 |
| 1955 | interaction | n. | 相互作用， 干扰 |
| 1956 | gown | n. | 长袍，长外衣 |
| 1957 | shot | n. | 发射；弹丸；射门 |
| 1958 | gay | adj. | 快乐的；鲜明的 |
| 1959 | sometime | adv. | 在某一时候；从前 |
| 1960 | satisfactory | adj. | 令人满意的，良好的 |
